"DateTime";"Precipitation";"Minimum temperature";"Maximum temperature";"Typical maximum temperature (low)";"Typical maximum temperature (high)";"Typical minimum temperature (low)";"Typical minimum temperature (high)"
"2025-08-28";0;7.6;19.1;17.2;20;9.7;12.2
"2025-08-29";21;8.2;17.8;17;19.8;9.6;12
"2025-08-30";11.4;12.1;15.5;16.8;19.6;9.4;11.9
"2025-08-31";0.6;12.8;14.7;16.6;19.4;9.3;11.8
"2025-09-01";0;10.9;19.6;16.5;19.2;9.1;11.6
"2025-09-02";0;8.3;17.2;16.3;19;8.9;11.5
"2025-09-03";0.4;13.3;19.3;16.1;18.7;8.8;11.4
"2025-09-04";0;14;19.1;15.9;18.5;8.6;11.2
"2025-09-05";0;11.5;23.2;15.7;18.3;8.4;11.1
"2025-09-06";0;12.3;21.7;15.4;18.1;8.2;10.9
"2025-09-07";0;14.6;21.3;15.2;17.9;8.1;10.8
"2025-09-08";0;15.7;20.1;15;17.7;7.9;10.7
"2025-09-09";0;14.2;23.1;14.8;17.5;7.7;10.5
"2025-09-10";0;11.8;21.5;14.6;17.3;7.6;10.4
"2025-09-11";0;15;23.4;14.4;17.1;7.4;10.2
"2025-09-12";5.5;13.9;18.7;14.2;16.9;7.3;10.1
"2025-09-13";4.9;12.3;16.9;14;16.7;7.1;10
"2025-09-14";2.8;10.2;15.7;13.8;16.4;6.9;9.8
"2025-09-15";6.7;12.8;15.2;13.6;16.2;6.7;9.6
"2025-09-16";21.3;12;16.4;13.4;16;6.5;9.5
"2025-09-17";1.6;11.5;15.4;13.1;15.8;6.4;9.3
"2025-09-18";0.9;11.8;16.5;12.9;15.5;6.2;9.2
"2025-09-19";2.5;10.3;15.5;12.7;15.3;6;9
"2025-09-20";14.9;9.4;18;12.5;15.1;5.8;8.8
"2025-09-21";5.8;11.8;17.9;12.2;14.8;5.6;8.7
"2025-09-22";0.6;9.3;16.4;12;14.6;5.4;8.5
"2025-09-23";3.6;5.5;10.3;11.8;14.3;5.2;8.3
"2025-09-24";0;4.2;10.8;11.5;14.1;5;8.2
"2025-09-25";0;4.7;14.2;11.3;13.9;4.8;8
